 hysplit.t22z.hrrrpf                                       
        Lat/Lon:  34.00 -106.00
E = Estimated Surface Height

 ========Mean Sea Level Pressure=====
     FHR:    2.
MSLP      1003.

 ========Temperature Deg C=====
Hmsl/FHR:    2.
Mdl sfc   32.4
 1842.    32.4
 2025.    30.2
 2307.    27.4
 2595.    24.7
 2890.    21.9
 3193.    19.0
 3503.    16.1
 3822.    13.1
 4150.    10.0
 4487.     6.9
 4835.     3.6
 5194.     0.2
 5565.    -3.2
 5949.    -6.4
 6348.    -9.3
 6764.   -11.2
 7202.   -12.5
 7663.   -14.6
 8148.   -18.0
 8659.   -22.1
 9199.   -26.5
 9771.   -30.9
10383.   -35.5
11038.   -40.8
11745.   -46.5
12516.   -52.1
13369.   -58.5
14317.   -66.9
15396.   -73.2
16708.   -71.2
18427.   -65.5
20918.   -60.9

 ========Relative Humidity========
Hmsl/FHR:    2.
 1842.    19.9
 2025.    21.1
 2307.    23.8
 2595.    26.4
 2890.    29.2
 3193.    32.6
 3503.    36.2
 3822.    40.7
 4150.    46.0
 4487.    52.5
 4835.    60.6
 5194.    70.4
 5565.    80.9
 5949.    88.2
 6348.    85.8
 6764.    64.9
 7202.    28.4
 7663.    14.4
 8148.    18.6
 8659.    26.5
 9199.    35.4
 9771.    35.3
10383.    31.6
11038.    32.8
11745.    32.4
12516.    29.2
13369.    35.0
14317.    52.2
15396.    48.8
16708.    16.6
18427.     2.9
20918.     1.0

 ========Wind Direction========
Hmsl/FHR:    2.
 1842.   167.6
 2025.   133.4
 2307.   135.4
 2595.   139.5
 2890.   149.7
 3193.   182.8
 3503.   242.1
 3822.   270.1
 4150.   279.3
 4487.   283.9
 4835.   287.1
 5194.   290.3
 5565.   293.5
 5949.   298.9
 6348.   306.0
 6764.   318.7
 7202.   336.6
 7663.   346.5
 8148.   343.0
 8659.   332.0
 9199.   324.7
 9771.   333.9
10383.   336.8
11038.   340.9
11745.   344.9
12516.   352.2
13369.   353.5
14317.   354.1
15396.     0.3
16708.   298.7
18427.    85.5
20918.    86.2

 ========Wind Speed m/s=========
Hmsl/FHR:    2.
 1842.     4.0
 2025.     3.7
 2307.     3.4
 2595.     2.7
 2890.     1.8
 3193.     1.1
 3503.     1.2
 3822.     2.2
 4150.     3.4
 4487.     4.5
 4835.     5.6
 5194.     6.4
 5565.     6.9
 5949.     7.3
 6348.     8.0
 6764.     8.9
 7202.     9.0
 7663.     8.9
 8148.     7.9
 8659.     6.4
 9199.     5.7
 9771.     7.1
10383.     8.0
11038.     8.0
11745.     8.6
12516.     9.5
13369.     9.3
14317.     7.9
15396.     4.2
16708.     2.9
18427.     2.7
20918.     7.4
